Player,Pos,Team,Starts,Age,MP,90s,Min,Gls,Ast,G+A,PK,G+A_90,G+A-PK_90
Trevoh Chalobah,DF,Chelsea,10,24,13,10.6,952,1,0,1,0,0.09,0.09
Adam Wharton,MF,Crystal Palace,15,19,16,14.4,1297,0,3,3,0,0.21,0.21
Cheick Doucouré,MF,Crystal Palace,11,23,11,10.2,919,0,0,0,0,0,0
Chris Richards,"DF,MF",Crystal Palace,23,23,26,23.3,2094,1,1,2,0,0.09,0.09
Daniel Muñoz,"DF,MF",Crystal Palace,16,27,16,16,1439,0,4,4,0,0.25,0.25
David Ozoh,"MF,DF",Crystal Palace,0,18,9,1.7,156,0,0,0,0,0,0
Dean Henderson,GK,Crystal Palace,18,26,18,18,1620,0,0,0,0,0,0
Eberechi Eze,"MF,FW",Crystal Palace,24,25,27,22.8,2055,11,4,15,1,0.66,0.61
Jaïro Riedewald,"MF,FW",Crystal Palace,2,26,9,2.6,235,0,0,0,0,0,0
James Tomkins,DF,Crystal Palace,0,34,4,0.1,10,0,0,0,0,0,0
Jean-Philippe Mateta,FW,Crystal Palace,25,26,35,25.4,2282,16,5,21,2,0.83,0.75
Jefferson Lerma,"MF,DF",Crystal Palace,27,28,28,26.7,2400,1,1,2,0,0.07,0.07
Jeffrey Schlupp,"FW,MF",Crystal Palace,17,30,29,15,1352,2,2,4,0,0.27,0.27
Jesurun Rak Sakyi,"MF,FW",Crystal Palace,0,20,6,1.5,136,0,0,0,0,0,0
Joachim Andersen,DF,Crystal Palace,38,27,38,37.9,3415,2,3,5,0,0.13,0.13
Joel Ward,DF,Crystal Palace,23,33,26,22,1980,0,1,1,0,0.05,0.05
Jordan Ayew,"FW,MF",Crystal Palace,30,31,35,28.3,2543,4,7,11,0,0.39,0.39
Marc Guéhi,DF,Crystal Palace,23,23,25,22.5,2021,0,1,1,0,0.04,0.04
Matheus França,"MF,FW",Crystal Palace,1,19,10,2.6,232,0,1,1,0,0.39,0.39
Michael Olise,"FW,MF",Crystal Palace,14,21,19,14.2,1275,10,6,16,1,1.13,1.06
Naouirou Ahamada,"MF,FW",Crystal Palace,0,21,20,3.9,349,0,0,0,0,0,0
Nathaniel Clyne,DF,Crystal Palace,14,32,19,14.9,1338,0,0,0,0,0,0
Odsonne Édouard,"FW,MF",Crystal Palace,17,25,30,17.3,1555,7,0,7,0,0.41,0.41
Remi Matthews,GK,Crystal Palace,0,29,1,0,4,0,0,0,0,0,0
Sam Johnstone,GK,Crystal Palace,20,30,20,20,1796,0,0,0,0,0,0
Tyrick Mitchell,"DF,MF",Crystal Palace,37,23,37,35.6,3204,2,3,5,0,0.14,0.14
Will Hughes,MF,Crystal Palace,23,28,30,21,1891,0,1,1,0,0.05,0.05
Abdoulaye Doucouré,"FW,MF",Everton,32,30,32,29.2,2629,7,1,8,0,0.27,0.27
Alex Iwobi,MF,Everton,2,27,2,1.6,140,0,0,0,0,0,0
Amadou Onana,MF,Everton,23,21,30,23.2,2091,2,0,2,0,0.09,0.09
André Gomes,"MF,FW",Everton,3,30,12,5.6,508,1,0,1,0,0.18,0.18
Arnaut Danjuma,"MF,FW",Everton,5,26,14,6.6,595,1,0,1,0,0.15,0.15
Ashley Young,"DF,MF",Everton,27,38,31,25.3,2280,0,0,0,0,0,0
Ben Godfrey,DF,Everton,13,25,15,12.4,1120,0,0,0,0,0,0
Beto,FW,Everton,9,25,30,10.6,951,3,0,3,0,0.28,0.28
Dominic Calvert-Lewin,FW,Everton,26,26,32,24.1,2171,7,2,9,2,0.37,0.29
Dwight McNeil,"MF,FW",Everton,33,23,35,32.1,2892,3,6,9,0,0.28,0.28
Idrissa Gana Gueye,MF,Everton,24,33,25,20.9,1884,4,0,4,0,0.19,0.19
Jack Harrison,"MF,FW",Everton,25,26,29,24.6,2214,3,3,6,0,0.24,0.24
James Garner,MF,Everton,34,22,37,33.4,3004,1,2,3,0,0.09,0.09
James Tarkowski,DF,Everton,38,30,38,38,3419,1,1,2,0,0.05,0.05
Jarrad Branthwaite,DF,Everton,35,21,35,34.6,3116,3,0,3,0,0.09,0.09
Jordan Pickford,GK,Everton,38,29,38,38,3420,0,0,0,0,0,0
Lewis Dobbin,MF,Everton,1,20,12,2.6,232,1,0,1,0,0.39,0.39
Lewis Warrington,FW,Everton,0,20,1,0,1,0,0,0,0,0,0
Michael Keane,DF,Everton,4,30,9,4.9,439,1,0,1,0,0.21,0.21
Nathan Patterson,DF,Everton,9,21,20,11.2,1005,0,2,2,0,0.18,0.18
Neal Maupay,FW,Everton,1,26,2,1.2,111,0,0,0,0,0,0
Séamus Coleman,DF,Everton,7,34,12,7.4,665,0,0,0,0,0,0
Thomas Cannon,FW,Everton,0,20,1,0,1,0,0,0,0,0,0
Tyler Onyango,MF,Everton,0,20,1,0,1,0,0,0,0,0,0
Vitaliy Mykolenko,DF,Everton,28,24,28,27.4,2469,2,0,2,0,0.07,0.07
